Identifier,Age,Schooling,Choice,Wage
214,20.0,13.0,blue_collar,28649.09902420502
214,21.0,13.0,blue_collar,28217.06356628182
214,22.0,13.0,blue_collar,26298.015251652265
217,16.0,10.0,home,
217,17.0,10.0,home,
230,16.0,9.0,schooling,
230,17.0,10.0,schooling,
230,18.0,11.0,schooling,
230,19.0,12.0,home,
230,20.0,12.0,home,
230,21.0,12.0,schooling,
230,22.0,13.0,schooling,
230,23.0,14.0,schooling,
232,16.0,11.0,schooling,
232,17.0,12.0,blue_collar,7608.997424188258
232,18.0,12.0,schooling,
232,19.0,13.0,schooling,
232,20.0,14.0,home,
232,21.0,14.0,blue_collar,11520.171303459298
232,22.0,14.0,blue_collar,8124.0246741602405
232,23.0,14.0,blue_collar,8781.649805338402
232,24.0,14.0,blue_collar,12106.30314474457
232,25.0,14.0,blue_collar,52763.240671072694
233,16.0,10.0,schooling,
233,17.0,11.0,schooling,
233,18.0,12.0,home,
233,19.0,12.0,home,
233,20.0,12.0,home,
233,21.0,12.0,blue_collar,12838.720434543086
233,22.0,12.0,blue_collar,13552.844017631993
233,23.0,12.0,blue_collar,16268.683274021354
234,16.0,8.0,schooling,
234,17.0,9.0,schooling,
234,18.0,10.0,blue_collar,
234,19.0,10.0,blue_collar,9055.30347805142
234,20.0,10.0,home,
234,21.0,10.0,home,
234,22.0,10.0,home,
234,23.0,10.0,home,
234,24.0,10.0,blue_collar,12030.403367041017
234,25.0,10.0,white_collar,23623.549411420146
234,26.0,10.0,home,
235,16.0,10.0,schooling,
235,17.0,11.0,schooling,
235,18.0,12.0,schooling,
235,19.0,13.0,schooling,
235,20.0,14.0,schooling,
235,21.0,15.0,blue_collar,9656.365917432942
235,22.0,15.0,blue_collar,8771.403643652398
235,23.0,15.0,blue_collar,10377.236224508146
235,24.0,15.0,blue_collar,20376.37688527368
241,16.0,9.0,home,
241,17.0,9.0,blue_collar,12063.999875268084
241,18.0,9.0,blue_collar,
241,19.0,9.0,blue_collar,13714.061582705483
241,20.0,9.0,blue_collar,
241,21.0,9.0,blue_collar,20980.593046908707
241,22.0,9.0,blue_collar,17439.16327974199
241,23.0,9.0,blue_collar,15485.242210763308
246,16.0,10.0,schooling,
246,17.0,11.0,schooling,
246,18.0,12.0,schooling,
246,19.0,13.0,schooling,
246,20.0,14.0,schooling,
246,21.0,15.0,schooling,
246,22.0,16.0,home,
246,23.0,16.0,white_collar,14323.859938993392
248,16.0,8.0,home,
248,17.0,8.0,home,
248,18.0,8.0,home,
248,19.0,8.0,military,8173.774861224423
248,20.0,8.0,home,
248,21.0,8.0,home,
248,22.0,8.0,home,
248,23.0,8.0,blue_collar,7884.536927920065
248,24.0,8.0,blue_collar,17113.035797120236
248,25.0,8.0,blue_collar,16477.374015394023
248,26.0,8.0,blue_collar,11692.984239959329
251,16.0,10.0,schooling,
251,17.0,11.0,schooling,
251,18.0,12.0,white_collar,8623.64630944202
251,19.0,12.0,white_collar,7737.999382618762
251,20.0,12.0,military,
251,21.0,12.0,military,8324.611824615538
251,22.0,12.0,military,25238.90096028085
251,23.0,12.0,military,
251,24.0,12.0,military,
253,16.0,10.0,schooling,
253,17.0,11.0,home,
253,18.0,11.0,home,
253,19.0,11.0,home,
253,20.0,11.0,home,
253,21.0,11.0,home,
253,22.0,11.0,home,
253,23.0,11.0,home,
257,16.0,10.0,schooling,
257,17.0,11.0,schooling,
257,18.0,12.0,blue_collar,8647.835350588084
257,19.0,12.0,blue_collar,12009.92160478564
257,20.0,12.0,blue_collar,6018.093007490335
257,21.0,12.0,blue_collar,3629.813213711448
257,22.0,12.0,blue_collar,3546.8304229759374
257,23.0,12.0,blue_collar,3437.5053380782924
260,16.0,10.0,schooling,
260,17.0,11.0,schooling,
260,18.0,12.0,schooling,
260,19.0,13.0,schooling,
260,20.0,14.0,blue_collar,30088.832417328143
260,21.0,14.0,white_collar,23827.796490121473
260,22.0,14.0,white_collar,25049.432167671053
260,23.0,14.0,blue_collar,752.9464433150468
260,24.0,14.0,blue_collar,16753.728254306945
260,25.0,14.0,blue_collar,29149.335819076277
260,26.0,14.0,blue_collar,28340.48466361634
261,16.0,10.0,schooling,
261,17.0,11.0,schooling,
261,18.0,12.0,white_collar,6047.928237258126
261,19.0,12.0,white_collar,5687.741220732188
261,20.0,12.0,schooling,
261,21.0,13.0,schooling,
261,22.0,14.0,white_collar,17482.404716476707
261,23.0,14.0,white_collar,16848.970414863306
261,24.0,14.0,white_collar,18782.900525334688
263,16.0,10.0,schooling,
263,17.0,11.0,schooling,
263,18.0,12.0,blue_collar,
263,19.0,12.0,blue_collar,23038.806550947134
263,20.0,12.0,blue_collar,23926.723270467995
263,21.0,12.0,home,
263,22.0,12.0,blue_collar,24771.93798506504
263,23.0,12.0,blue_collar,18297.48636037242
263,24.0,12.0,blue_collar,16329.152249757222
263,25.0,12.0,white_collar,16066.123029994915
266,16.0,9.0,home,
266,17.0,9.0,home,
266,18.0,9.0,home,
270,16.0,11.0,white_collar,9866.217851978477
270,17.0,11.0,schooling,
270,18.0,12.0,home,
270,19.0,12.0,blue_collar,7537.613059844752
270,20.0,12.0,blue_collar,11743.21853091947
270,21.0,12.0,blue_collar,15832.754259429916
270,22.0,12.0,blue_collar,23848.178783582487
270,23.0,12.0,blue_collar,24307.931271975256
270,24.0,12.0,white_collar,18960.371326835233
270,25.0,12.0,blue_collar,24920.0813421454
279,16.0,10.0,schooling,
279,17.0,11.0,schooling,
279,18.0,12.0,blue_collar,10728.992971523165
279,19.0,12.0,blue_collar,14179.035351472001
279,20.0,12.0,home,
279,21.0,12.0,blue_collar,17991.51160253734
279,22.0,12.0,white_collar,33171.47386382401
279,23.0,12.0,white_collar,32129.763878429174
279,24.0,12.0,white_collar,26645.342978575452
279,25.0,12.0,white_collar,30050.686324351802
281,16.0,10.0,schooling,
281,17.0,11.0,schooling,
281,18.0,12.0,schooling,
281,19.0,13.0,schooling,
281,20.0,14.0,schooling,
281,21.0,15.0,schooling,
281,22.0,16.0,white_collar,14900.123053990419
281,23.0,16.0,white_collar,16439.95010067184
281,24.0,16.0,schooling,
281,25.0,17.0,schooling,
281,26.0,18.0,white_collar,24900.53618030842
295,16.0,10.0,military,8509.156769498548
295,17.0,10.0,military,9615.085843918261
295,18.0,10.0,military,9887.749200875618
295,19.0,10.0,blue_collar,
295,20.0,10.0,home,
295,21.0,10.0,white_collar,11593.652957637702
295,22.0,10.0,white_collar,11117.92920599524
295,23.0,10.0,home,
296,16.0,9.0,schooling,
296,17.0,10.0,schooling,
296,18.0,11.0,schooling,
296,19.0,12.0,blue_collar,12706.53875864691
296,20.0,12.0,blue_collar,17416.288307834468
296,21.0,12.0,blue_collar,16105.391691565319
296,22.0,12.0,blue_collar,18574.737127734494
296,23.0,12.0,blue_collar,25442.336358586406
296,24.0,12.0,blue_collar,31086.454689883074
308,16.0,10.0,schooling,
308,17.0,11.0,schooling,
308,18.0,12.0,blue_collar,12381.281338284027
308,19.0,12.0,blue_collar,12723.46375040687
308,20.0,12.0,home,
308,21.0,12.0,home,
308,22.0,12.0,home,
308,23.0,12.0,home,
308,24.0,12.0,blue_collar,8868.729892700761
308,25.0,12.0,blue_collar,12687.614645901524
308,26.0,12.0,blue_collar,15925.547127605489
311,16.0,9.0,schooling,
311,17.0,10.0,schooling,
311,18.0,11.0,schooling,
311,19.0,12.0,blue_collar,24340.526034938648
311,20.0,12.0,blue_collar,26419.605793250197
311,21.0,12.0,blue_collar,25884.677939610985
311,22.0,12.0,white_collar,31875.19107650254
311,23.0,12.0,blue_collar,30573.94636502288
313,16.0,10.0,schooling,
313,17.0,11.0,home,
313,18.0,11.0,home,
313,19.0,11.0,home,
313,20.0,11.0,blue_collar,9989.637670833557
313,21.0,11.0,blue_collar,11439.308108173975
313,22.0,11.0,blue_collar,13454.827952554331
313,23.0,11.0,blue_collar,17449.95135417041
313,24.0,11.0,blue_collar,19789.47635993899
315,16.0,9.0,blue_collar,8956.313396371463
315,17.0,9.0,blue_collar,11713.93799330735
315,18.0,9.0,blue_collar,17844.90848670899
315,19.0,9.0,blue_collar,7813.167359585819
315,20.0,9.0,home,
315,21.0,9.0,blue_collar,6863.597084628032
315,22.0,9.0,white_collar,9037.522929180304
315,23.0,9.0,home,
316,16.0,10.0,schooling,
316,17.0,11.0,home,
316,18.0,11.0,blue_collar,13627.46446454648
316,19.0,11.0,home,
316,20.0,11.0,blue_collar,
316,21.0,11.0,blue_collar,6929.103334172571
316,22.0,11.0,white_collar,10107.208369086584
316,23.0,11.0,blue_collar,16906.56498898492
318,16.0,10.0,schooling,
318,17.0,11.0,white_collar,2971.974005649505
318,18.0,11.0,schooling,
318,19.0,12.0,blue_collar,13112.051262475567
318,20.0,12.0,blue_collar,13335.480199136233
318,21.0,12.0,blue_collar,13196.593093728472
318,22.0,12.0,blue_collar,19098.9554221277
318,23.0,12.0,blue_collar,14163.616186502657
318,24.0,12.0,home,
324,16.0,9.0,home,
324,17.0,9.0,home,
324,18.0,9.0,blue_collar,15904.329688008585
324,19.0,9.0,home,
324,20.0,9.0,home,
324,21.0,9.0,home,
324,22.0,9.0,home,
324,23.0,9.0,home,
324,24.0,9.0,home,
324,25.0,9.0,home,
325,16.0,10.0,schooling,
325,17.0,11.0,schooling,
325,18.0,12.0,schooling,
325,19.0,13.0,schooling,
325,20.0,14.0,schooling,
325,21.0,15.0,home,
325,22.0,15.0,home,
325,23.0,15.0,white_collar,14795.32282663955
342,16.0,10.0,schooling,
342,17.0,11.0,schooling,
342,18.0,12.0,schooling,
342,19.0,13.0,schooling,
342,20.0,14.0,schooling,
342,21.0,15.0,schooling,
342,22.0,16.0,white_collar,24930.45690717808
342,23.0,16.0,white_collar,25490.79547770624
342,24.0,16.0,white_collar,31724.449996368658
346,16.0,10.0,schooling,
346,17.0,11.0,schooling,
346,18.0,12.0,schooling,
346,19.0,13.0,schooling,
346,20.0,14.0,schooling,
346,21.0,15.0,schooling,
346,22.0,16.0,blue_collar,
346,23.0,16.0,blue_collar,25847.635684381574
346,24.0,16.0,white_collar,
346,25.0,16.0,white_collar,23465.92130147433
350,16.0,10.0,schooling,
350,17.0,11.0,schooling,
350,18.0,12.0,schooling,
350,19.0,13.0,schooling,
350,20.0,14.0,home,
350,21.0,14.0,schooling,
350,22.0,15.0,schooling,
350,23.0,16.0,schooling,
350,24.0,17.0,blue_collar,23165.58865550081
350,25.0,17.0,blue_collar,19721.06829350958
355,16.0,10.0,schooling,
355,17.0,11.0,schooling,
355,18.0,12.0,blue_collar,7443.256303228868
355,19.0,12.0,white_collar,14573.30010787075
355,20.0,12.0,white_collar,19455.174891190647
355,21.0,12.0,white_collar,14620.739204015495
355,22.0,12.0,white_collar,27009.421786446477
355,23.0,12.0,white_collar,28216.507710557533
